infrastructure_scenario,funding_scenario,year,months_in_year,first_month_id,last_month_id,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,funding_need,equity_injection,revolver_drawdown,revolver_repayment,interest_expense,ebt_after_interest,profit_tax_after_interest,net_income_after_interest,operating_cash_flow_after_interest,free_cash_flow_after_financing_costs,required_gpu,opening_cash_before_funding,closing_cash_before_funding,closing_cash_after_funding,cash,net_ppe,net_intangible_assets,total_assets,total_liabilities,total_equity,revolver_balance,closing_revolver_balance,paid_in_capital,retained_earnings,balance_check
hybrid,revolver_only,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,164467636.38,0.0,164467636.38,0.0,5353877.51,-126706277.51,0.0,-126706277.51,-126706277.51,-126706277.51,24.0,-80901600.0,-121352400.0,37761358.87,37761358.87,0.0,0.0,37761358.87,164467636.37,-126706277.51,164467636.37,164467636.37,0.0,-126706277.51,0.0
hybrid,revolver_only,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,231549891.27,0.0,231549891.27,0.0,79151873.61,-196525025.61,0.0,-196525025.61,-196525025.61,-196525025.61,91.3,-256087104.0,-251397276.0,60114500.53,60114500.53,0.0,0.0,60114500.53,396017527.64,-323231303.11,396017527.64,396017527.64,0.0,-323231303.11,-12671724.0
hybrid,revolver_only,2028,12,2028-01,2028-12,891591218.7,288017638.83,1179608857.48,884706639.09,102024000.0,4.05,192878214.34,48219553.6,144658660.8,144658664.85,-241.97,144658422.88,8068451.68,0.0,8068451.68,48999230.14,86410284.88,106467929.46,26616982.35,79850947.09,79850951.14,79850709.17,235.97,-119274396.43,-106738853.13,77431860.07,77431860.07,241.97,0.0,77432102.04,355086749.2,-243380356.04,355086749.2,355086749.2,0.0,-243380356.04,-34274291.13
hybrid,revolver_only,2029,12,2029-01,2029-12,1200758163.33,202896432.76,1403654596.2,982558213.34,102024000.0,3.97,319072378.89,79768094.72,239304284.17,239304288.14,-238.06,239304050.08,0.0,0.0,0.0,167584272.05,62438997.8,256633381.09,64158345.29,192475035.81,192475039.78,192474801.72,474.03,112623173.67,132565196.91,86712640.3,86712640.3,480.03,0.0,86713120.33,187502477.15,-50905320.21,187502477.15,187502477.15,0.0,-50905320.21,-49884036.61
hybrid,revolver_only,2030,12,2030-01,2030-12,1393099741.58,209702735.99,1602802477.57,1041821609.42,102024000.0,1.0,458956867.15,114739216.76,344217650.39,344217651.39,-59.92,344217591.47,0.0,0.0,0.0,187502477.15,13460830.26,445496036.89,111374009.24,334122027.69,334122028.69,334121968.77,533.95,448097984.29,476782788.35,229966924.37,229966924.37,539.95,0.0,229967464.32,0.0,283216707.46,0.0,0.0,0.0,283216707.46,-53249243.14
rent_gpu_only,equity_only,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,161803200.0,161803200.0,0.0,0.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,-121352400.0,24.0,-80901600.0,-121352400.0,40450800.0,40450800.0,0.0,0.0,40450800.0,0.0,40450800.0,0.0,0.0,161803200.0,-121352400.0,0.0
rent_gpu_only,equity_only,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,186570384.0,186570384.0,0.0,0.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,-130044876.0,91.3,-256087104.0,-251397276.0,96976308.0,96976308.0,0.0,0.0,96976308.0,0.0,96976308.0,0.0,0.0,348373584.0,-251397276.0,0.0
rent_gpu_only,equity_only,2028,12,2028-01,2028-12,890420598.78,287639484.42,1178060083.2,883545062.4,102024000.0,0.0,192491020.8,48122755.2,144368265.6,144368265.6,0.0,144368265.6,0.0,0.0,0.0,0.0,0.0,192491020.8,48122755.2,144368265.6,144368265.6,144368265.6,235.97,-119516155.2,-107029010.4,241344573.6,241344573.6,0.0,0.0,241344573.6,0.0,241344573.6,0.0,0.0,348373584.0,-107029010.4,0.0
rent_gpu_only,equity_only,2029,12,2029-01,2029-12,1195054905.12,201932732.64,1396987637.88,977891346.48,102024000.0,0.0,317072291.4,79268072.88,237804218.52,237804218.52,0.0,237804218.52,0.0,0.0,0.0,0.0,0.0,317072291.4,79268072.88,237804218.52,237804218.52,237804218.52,474.03,110958189.9,130775208.11,479148792.12,479148792.12,0.0,0.0,479148792.12,0.0,479148792.15,0.0,0.0,348373584.0,130775208.15,-0.03
rent_gpu_only,equity_only,2030,12,2030-01,2030-12,1386070492.8,208644626.04,1594715118.84,1036564827.24,102024000.0,0.0,456126291.6,114031572.84,342094718.64,342094718.64,0.0,342094718.64,0.0,0.0,0.0,0.0,0.0,456126291.6,114031572.84,342094718.64,342094718.64,342094718.64,533.95,444362033.58,472869926.8,821243510.76,821243510.76,0.0,0.0,821243510.76,0.0,821243510.85,0.0,0.0,348373584.0,472869926.85,-0.09
