Check,Year,Formula,Expected,Actual,Difference,Status,Notes
operating_cash_flow_check,2027,net_income+total_depreciation_and_amortization,138113223.6261801,138113223.6261801,0.0,OK,
investing_cash_flow_check,2027,-gpu_infra-dc-office-intangible,-0.0,0.0,0.0,OK,
pre_financing_cash_flow_check,2027,operating_cash_flow+investing_cash_flow,138113223.6261801,138113223.6261801,0.0,OK,
financing_cash_flow_check,2027,equity_injection+revolver_drawdown-revolver_repayment,-33201111.626180112,-33201111.626180112,0.0,OK,
net_cash_flow_check,2027,pre_financing_cash_flow+financing_cash_flow,104912112.0,104912112.0,0.0,OK,
funding_need_check,2027,"max(-closing_cash_before_funding,0)",0.0,0.0,0.0,OK,
minimum_cash_balance_check,2027,(total_team_opex+total_sga+annual_gpu_rental_cost)/12*months_of_fixed_costs,104912112.0,104912112.0,0.0,OK,
revolver_balance_check,2027,opening_revolver_balance+drawdown-repayment,254953180.4125104,254953180.4125104,0.0,OK,
interest_expense_check,2027,average_revolver_balance*revolver_interest_rate,68244160.2523949,68244160.2523949,0.0,OK,
closing_cash_after_funding_check,2027,cash_after_drawdown-revolver_repayment,104912112.0,104912112.0,0.0,OK,
net_ppe_check,2027,gross_ppe-accumulated_depreciation,12765619.047619047,12765619.047619047,0.0,OK,
net_intangible_assets_check,2027,gross_intangible_assets-accumulated_amortization,184538250.0,184538250.0,0.0,OK,
total_assets_check,2027,cash+net_ppe+net_intangible_assets,302215981.04761904,302215981.04761904,0.0,OK,
total_equity_check,2027,paid_in_capital+retained_earnings,47262800.63510865,47262800.63510865,0.0,OK,
balance_check,2027,0,0.0,0.0,0.0,OK,
free_cash_flow_check,2027,operating_cash_flow+investing_cash_flow,138113223.6261801,138113223.6261801,0.0,OK,
discount_factor_check,2027,1/(1+discount_rate)^year_index,0.7692307692307692,0.7692307692307692,0.0,OK,
discounted_fcf_check,2027,free_cash_flow*discount_factor,106240941.25090776,106240941.25090776,0.0,OK,
active_users_check,2028,total_employees*activation_rate,10800.0,10800.0,0.0,OK,
workplace_annual_tokens_check,2028,active_users*tokens_per_active_user_per_day*working_days,317444400000.0,317444400000.0,0.0,OK,
automated_interactions_check,2028,interactions_per_day*automation_rate,11061.0,11061.0,0.0,OK,
contact_center_annual_tokens_check,2028,automated_interactions*tokens_per_interaction*calendar_days,102546531000.0,102546531000.0,0.0,OK,
total_annual_tokens_check,2028,workplace_annual_tokens+contact_center_annual_tokens,419990931000.0,419990931000.0,0.0,OK,
tokens_per_second_check,2028,total_annual_tokens/(working_days*working_hours*3600),39360.373650472335,39360.373650472335,0.0,OK,
required_gpu_check,2028,ceil(tokens_per_second/(weighted_throughput*utilization)*peak_factor),344,344,0.0,OK,
construction_flag_check,2028,1 if year==construction_start_year else 0,1,1,0,OK,
owned_gpu_check,2028,required_gpu if year>=construction_start_year else 0,344.0,344,0.0,OK,
rented_gpu_check,2028,required_gpu if year<construction_start_year else 0,0,0,0.0,OK,
owned_gpu_increment_check,2028,"owned first year else max(delta,0)",344.0,344,0.0,OK,
gpu_capex_check,2028,owned_gpu_increment*gpu_unit_cost,1032000000.0,1032000000.0,0.0,OK,
gpu_infra_capex_check,2028,gpu_capex*infra_multiplier,1548000000.0,1548000000.0,0.0,OK,
tangible_capex_check,2028,gpu_infra+dc+office,3617979200.000001,3617979200.000001,0.0,OK,
intangible_capex_check,2028,workplace_ai_ip_value+contact_center_ai_ip_value,0.0,0.0,0.0,OK,
total_capex_check,2028,tangible_capex+intangible_capex,3617979200.000001,3617979200.000001,0.0,OK,
datacenter_construction_capex_check,2028,total_component_rub*construction_flag,2069979200.0000007,2069979200.0000007,0.0,OK,
office_capex_depreciation_check,2028,sum office depreciation components,6402190.476190476,6402190.476190477,9.313225746154785e-10,OK,
total_ppe_depreciation_check,2028,gpu_depreciation+datacenter_depreciation+office_capex_depreciation,729998030.4761906,729998030.4761906,0.0,OK,
ip_amortization_check,2028,workplace_ai_amortization+contact_center_ai_amortization,61512750.0,61512750.0,0.0,OK,
total_depreciation_and_amortization_check,2028,total_ppe_depreciation+ip_amortization,791510780.4761906,791510780.4761906,0.0,OK,
gpu_rental_opex_check,2028,rented_gpu*rental_price_per_gpu_per_year,0.0,0.0,0.0,OK,
electricity_cost_check,2028,electricity_kwh*electricity_price_t,27968490.0,27968490.0,0.0,OK,
total_datacenter_opex_check,2028,electricity+maintenance+network+land+other,221004173.25000006,221004173.25000006,0.0,OK,
team_opex_check,2028,annual_core_team_cash_cost-capitalized_core_team_cost,970031462.4000001,970031462.4000001,0.0,OK,
total_sga_check,2028,annual_fixed_sga+annual_office_rent,144052473.60000002,144052473.60000002,0.0,OK,
pricing_base_check,2028,total_cogs+total_depreciation_and_amortization,1982546416.1261907,1982546416.1261907,0.0,OK,
workplace_token_share_check,2028,workplace_annual_tokens/total_annual_tokens,0.7558363206656955,0.7558363206656955,0.0,OK,
