infrastructure_scenario,funding_scenario,npv,irr_annualized,simple_payback_month_key,discounted_payback_month_key,required_investments,peak_required_gpu,latest_year,latest_year_total_revenue,latest_year_net_income_after_interest,latest_year_closing_cash,latest_year_revolver_balance
build_own_dc,equity_only,96477775.63,0.482217,2029-06,2030-03,539.95,533.950803,2030,1602802477.57,344217650.39,825156372.43,0.0
build_own_dc,mix,53762578.92,,2029-09,2030-07,539.95,533.950803,2030,1602802477.57,344217650.39,585272915.96,0.0
build_own_dc,revolver_only,-30152779.38,,2030-02,Not reached,539.95,533.950803,2030,1602802477.57,334122027.69,229966924.37,0.0
hybrid,equity_only,96477775.63,0.482217,2029-06,2030-03,539.95,533.950803,2030,1602802477.57,344217650.39,825156372.43,0.0
hybrid,mix,53762578.92,,2029-09,2030-07,539.95,533.950803,2030,1602802477.57,344217650.39,585272915.96,0.0
hybrid,revolver_only,-30152779.38,,2030-02,Not reached,539.95,533.950803,2030,1602802477.57,334122027.69,229966924.37,0.0
rent_gpu_only,equity_only,94797504.21,0.4794,2029-06,2030-03,0,533.950803,2030,1594715118.84,342094718.64,821243510.76,0.0
rent_gpu_only,mix,52077722.39,0.39201,2029-09,2030-07,0,533.950803,2030,1594715118.84,342094718.64,581347273.8,0.0
rent_gpu_only,revolver_only,-31976913.29,,2030-03,Not reached,0,533.950803,2030,1594715118.84,331759728.17,225583102.66,0.0
