table,metric,2026,2027,2028,2029,2030
Revenue,total_revenue,221744670.86834735,1488702155.5952382,2643395221.5015874,3596795951.0140824,4196047688.8998113
Revenue,workplace_implied_price_per_1m_tokens,35114.09683410026,18457.452883004225,8991.334357787386,3976.4799952877756,2817.6687323119368
Revenue,contact_center_implied_price_per_1m_tokens,35114.09683410026,18457.45288300423,8991.334357787386,3976.4799952877765,2817.6687323119363
COGS,total_datacenter_opex,0.0,0.0,221004173.25000006,370675739.1750001,438291532.48650014
COGS,total_team_opex,246051000.0,881846784.0,970031462.4000001,1047633979.3920006,1110492018.1555207
COGS,annual_gpu_rental_cost,63000000.0,241200000.0,0.0,0.0,0.0
COGS,total_cogs,309051000.0,1123046784.0,1191035635.65,1418309718.5670006,1548783550.6420207
P&L Summary,total_revenue,221744670.86834735,1488702155.5952382,2643395221.5015874,3596795951.0140824,4196047688.8998113
P&L Summary,total_cogs,309051000.0,1123046784.0,1191035635.65,1418309718.5670006,1548783550.6420207
P&L Summary,gross_profit,-87306329.13165265,365655371.5952382,1452359585.8515873,2178486232.4470816,2647264138.2577906
P&L Summary,total_sga,121968000.0,135898560.0,144052473.60000002,151255097.28,158817852.14400005
P&L Summary,ebitda,-209274329.13165265,229756811.5952382,1308307112.2515874,2027231135.1670816,2488446286.1137905
P&L Summary,total_depreciation_and_amortization,67914940.47619048,67914940.47619048,791510780.4761906,1099447447.1428573,1178647447.1428573
P&L Summary,ebit,-277189269.60784316,161841871.11904773,516796331.7753968,927783688.0242243,1309798838.9709332
P&L Summary,interest_expense,33900504.945728295,68244160.2523949,212598468.85435313,378400252.62975866,210044763.82168698
P&L Summary,ebt,-311089774.55357146,93597710.86665283,304197862.9210437,549383435.3944657,1099754075.1492462
P&L Summary,profit_tax,0.0,23399427.716663208,76049465.73026092,137345858.84861642,274938518.78731155
P&L Summary,net_income,-311089774.55357146,70198283.14998962,228148397.1907828,412037576.54584926,824815556.3619347
Cash Flow Statement,net_income,-311089774.55357146,70198283.14998962,228148397.1907828,412037576.54584926,824815556.3619347
Cash Flow Statement,total_depreciation_and_amortization,67914940.47619048,67914940.47619048,791510780.4761906,1099447447.1428573,1178647447.1428573
Cash Flow Statement,operating_cash_flow,-243174834.07738099,138113223.6261801,1019659177.6669734,1511485023.6887066,2003463003.504792
Cash Flow Statement,gpu_capex,0.0,0.0,1032000000.0,1041000000.0,264000000.0
Cash Flow Statement,gpu_infra_capex,0.0,0.0,1548000000.0,1561500000.0,396000000.0
Cash Flow Statement,datacenter_construction_capex,0.0,0.0,2069979200.0000007,0.0,0.0
Cash Flow Statement,office_capex,25570000.0,0.0,0.0,0.0,0.0
Cash Flow Statement,intangible_capex,307563750.0,0.0,0.0,0.0,0.0
Cash Flow Statement,investing_cash_flow,-333133750.0,0.0,-3617979200.000001,-1561500000.0,-396000000.0
Cash Flow Statement,equity_injection,288154292.0386905,0.0,1246703955.166514,25007488.15564668,0.0
Cash Flow Statement,revolver_drawdown,288154292.0386905,0.0,1246703955.166514,25007488.15564668,0.0
Cash Flow Statement,revolver_repayment,0.0,33201111.626180112,0.0,0.0,1501687180.979832
Cash Flow Statement,financing_cash_flow,542408079.1316527,-30355302.058221817,2381762780.0196085,47775499.760041475,-1372971136.8958464
Cash Flow Statement,net_cash_flow,-33900504.9457283,107757921.5679583,-216557242.31341934,-2239476.5512518883,234491866.6089456
Cash Flow Statement,opening_cash,0.0,0.0,104912112.0,0.0,0.0
Cash Flow Statement,closing_cash,0.0,104912112.0,0.0,0.0,105775822.52496004
Cash Flow Statement,cumulative_cash,-33900504.9457283,73857416.62223,-142699825.69118935,-144939302.24244124,89552564.36650437
Funding,minimum_cash_balance,35918250.0,104912112.0,92840328.0,99907423.05600004,105775822.52496006
Funding,funding_need,576308584.077381,0.0,2493407910.333028,50014976.31129336,0.0
