infrastructure_scenario,funding_scenario,npv,irr_annualized,simple_payback_month_key,discounted_payback_month_key,required_investments,peak_required_gpu,ending_revolver_balance,ending_cash,ending_balance_check
build_own_dc,equity_only,96477775.63,0.482217,2029-06,2030-03,539.95,533.950803,0.0,825156372.43,9.09
build_own_dc,revolver_only,-30152779.38,,2030-02,Not reached,539.95,533.950803,0.0,229966924.37,-53249243.14
build_own_dc,mix,53762578.92,,2029-09,2030-07,539.95,533.950803,0.0,585272915.96,-15981313.69
rent_gpu_only,equity_only,94797504.21,0.4794,2029-06,2030-03,0,533.950803,0.0,821243510.76,-0.09
rent_gpu_only,revolver_only,-31976913.29,,2030-03,Not reached,0,533.950803,0.0,225583102.66,-53366992.34
rent_gpu_only,mix,52077722.39,0.39201,2029-09,2030-07,0,533.950803,0.0,581347273.8,-15984517.87
hybrid,equity_only,96477775.63,0.482217,2029-06,2030-03,539.95,533.950803,0.0,825156372.43,9.09
hybrid,revolver_only,-30152779.38,,2030-02,Not reached,539.95,533.950803,0.0,229966924.37,-53249243.14
hybrid,mix,53762578.92,,2029-09,2030-07,539.95,533.950803,0.0,585272915.96,-15981313.69
